,Unnamed: 0,id,text_review,aspect,polarity_aspect,category_aspect,all_aspects,all_categories
0,0,a.3zUCvkq5sMQniYGQsF1S7cuIRq-2979133___rating_5.txt,Sunt foarte multumita de acest magazin.ma bucur k s-a deschis si in orasul nostru.recomand mereu acest magazin prietenilor mei,Sunt foarte multumita de acest magazin,1.0,magazin,Sunt foarte multumita de acest magazin; recomand mereu acest magazin prietenilor mei; ,magazin; magazin; 
2,2,a.5alY9PXqYHzjyhNs52eP9iiv2e-4156629___rating_3.txt,"Magazinul ok dar deranjatnti sunt copii scapati de sub controlul parintilor , alearga cu biciclete, trotinete fara sa se uite si lovesc persoane si mai grav alti copii.Sa se faca un loc de joaca special amenajat pentru ei.",Magazinul ok,1.0,magazin,"Magazinul ok; deranjatnti sunt copii scapati de sub controlul parintilor , alearga cu biciclete, trotinete fara sa se uite si lovesc persoane si mai grav alti copii; ",magazin; atmosfera; 
4,4,a.7p4RhwVJKAhTbWQcflbNpeSM3W-1824224___rating_4.txt,"Eu sunt multumit de ea, o pot folosi si toamna si iarna (tine de cald daca e cumparata la un loc cu bluza detasabila) si rezista la ploaie si umezeala , nu-ti mai tr umbrela.",Eu sunt multumit de ea,1.0,produs,Eu sunt multumit de ea; o pot folosi si toamna si iarna; tine de cald; rezista la ploaie si umezeala; ,produs; utilitate; confort; rezistenta; 
8,8,a.CR7xcYJDQrIDlCeSlC7Ari900G-1300268___rating_4.txt,Este uşor de găsit produsele în magazin și are o gamă largă de produse.,Este uşor de găsit produsele în magazin,1.0,organizare,Este uşor de găsit produsele în magazin; are o gamă largă de produse; ,organizare; varietate; 
10,10,a.E.4prLZUwg_YpfrI5UGJYHpnWG-5685275___rating_5.txt,"Imi plac foarte mult ,de cativa ani ii cumpar fiului meu acelasi produs dar marime diferita .Recomand cu incredere.",Imi plac foarte mult,1.0,produs,Imi plac foarte mult; Recomand cu incredere; ,produs; produs; 
12,12,a.ETYK8gxXlhvhC_b4BAzNjwNie0-3830761___rating_3.txt,"- de fiecare data cand vizitez magazinul este altfel organizat. am o memorie fotografica buna si tin minte de regula ce vreau sa imi cumpar data viitoare, in functie de unde este pozitionat produsul; ei bine, cand revin in magazin, ca sa vezi, nu mai gase",de fiecare data cand vizitez magazinul este altfel organizat,-1.0,organizare,de fiecare data cand vizitez magazinul este altfel organizat; ,organizare; 
13,13,a.vLpLKVaYHilNaPMegPksfV3bKu-5667418___rating_4.txt,"Mi-ar placea sa gasesc si produse din colectia de anul trecut, care mi-au placut.",Mi-ar placea sa gasesc si produse din colectia de anul trecut,0.0,disponibilitate,Mi-ar placea sa gasesc si produse din colectia de anul trecut; ,disponibilitate; 
14,14,a.wr0JLPJnfSIg06EdPcEZPbtu.a-5697155___rating_5.txt,"Am luat bicicleta pentru fetita mea de 9 ani. Este foarte incantata de ea, e o bicla perfecta pentru copii de 7-11 ani. In plus, este destul de usoara, copiii o pot manevra usor. Angajatii Decathlon se ocupa foarte bine de reglajele finale. Iar la sase luni am si o revizie gratuita.Per total, 5 stele. Un produs perfect.",Este foarte incantata de ea,1.0,produs,"Este foarte incantata de ea; este destul de usoara, copiii o pot manevra usor; Angajatii Decathlon se ocupa foarte bine de reglajele finale. Iar la sase luni am si o revizie gratuita; Un produs perfect; ",produs; utilizare; servicii; produs; 
18,18,a0Jn7i5N6BmUwGgtDpuggtThWvZe-1318068___rating_4.txt,"Nu prea se gasesc lucratori care sa te indrume sau cu care sa te consulti. Raionul de pescuit arata ca dupa un tsunami, indiferent de ziua si ora la care mergi in magazin.",Nu prea se gasesc lucratori care sa te indrume sau cu care sa te consulti,-1.0,personal,"Nu prea se gasesc lucratori care sa te indrume sau cu care sa te consulti; Raionul de pescuit arata ca dupa un tsunami, indiferent de ziua si ora la care mergi in magazin; ",personal; organizare; 
20,20,a0Ox4g6pSgzLrKPPYDglfeGr1YXS-4385583___rating_3.txt,"am vrut sa cumpar o minge de fotbal marimea 4, de calitate (seria 500 gazon parca). nu am gasit la raft, desi pe site aparea disponibila. am cumparat ce-am gasit...am cautat si o pereche de ochelari de ciclism, seria 700 fotocromici. o singura bucata la raft, murdara si incompleta.am cautat si o geaca tehnica. am oferit angajatei dvs informatii complete: membrana 10,000, captuseala usoara. mi s-a raspuns: la raft nu ati gasit nimic? eu nu prea cunosc gama...","nu am gasit la raft, desi pe site aparea disponibila",-1.0,disponibilitate,"nu am gasit la raft, desi pe site aparea disponibila; o singura bucata la raft; ",disponibilitate; aprovizionare; 
22,22,a0qNQKHRJA3hholnEa3hH0CmIh8O-5677810___rating_2.txt,"Am cumparat 2 bete pentru un traseu prin Bucegi. La dus am pierdut varful primului bat, iar la intoarcere am observat ca si cel de-al doilea bat a ramas fara varf. Pe langa problema asta, si sistemul de fixare mi-a facut niste probleme.","La dus am pierdut varful primului bat, iar la intoarcere am observat ca si cel de-al doilea bat a ramas fara varf",-1.0,rezistenta,"La dus am pierdut varful primului bat, iar la intoarcere am observat ca si cel de-al doilea bat a ramas fara varf; sistemul de fixare mi-a facut niste probleme; ",rezistenta; produs; 
24,24,a0U2wg1DNM6AfjoK_EiN0ek4PrxC-2623900___rating_5.txt,As adauga si rapidiatea la casa de marcat (timpul de asteptare) si modul de asezare al produselor pe raft (ordinea si curatenia in principal) printre criteriile de apreciere.,As adauga si rapidiatea la casa de marcat (timpul de asteptare),1.0,servicii,As adauga si rapidiatea la casa de marcat (timpul de asteptare); modul de asezare al produselor pe raft (ordinea si curatenia in principal); ,servicii; organizare; 
26,26,a0ZNeD0lvmviin6cdndvBwi2DORe-4197209___rating_5.txt,"Magazin foarte bun, privind articole sportive de calitate la preturi bune.",Magazin foarte bun,1.0,magazin,Magazin foarte bun; articole sportive de calitate la preturi bune; ,magazin; pret-calitate; 
28,28,a1.HgPeQWfiF5DJSJV4jLNKPTYgu-3379894___rating_5.txt,nu am gasit o pereche de adidasi doriti la marimea potrivita,nu am gasit o pereche de adidasi doriti la marimea potrivita,-1.0,disponibilitate,nu am gasit o pereche de adidasi doriti la marimea potrivita; ,disponibilitate; 
29,29,a1BYRr4LOmG155t7MIcCFTsMbVIy-1481330___rating_5.txt,"jacheta excelenta pentru oras, calduroasa, Poate la modelul urmaotor se vor mai face cateva imbunatatiri (fermoar dublu si termic,  maneci cu orificiu pentru degetul mare)",jacheta excelenta pentru oras,1.0,utilitate,jacheta excelenta pentru oras; calduroasa; ,utilitate; confort; 
31,31,a1ChXexuHJltZH_wYeoudyoEyQ4O-4166910___rating_4.txt,"Perechea anterioară a rezistat cu succes pe parcursul a aprox 2 ani de utilizare intensivă. Singurul inconvenient este reprezentat de buzunarele """"minuscule"""", in care este aproape imposibil de ținut măcar un telefon.",Perechea anterioară a rezistat cu succes pe parcursul a aprox 2 ani de utilizare intensivă,1.0,rezistenta,"Perechea anterioară a rezistat cu succes pe parcursul a aprox 2 ani de utilizare intensivă; Singurul inconvenient este reprezentat de buzunarele """"minuscule"""", in care este aproape imposibil de ținut măcar un telefon; ",rezistenta; produs; 
33,33,a1GjpkCQHdmNVianvtMGIgmZWdua-1489907___rating_3.txt,"Anumite produse sunt SUPER, la preturi corecte, altele supraevaluate pot fi aduse la pretul real!",Anumite produse sunt SUPER,1.0,produs,Anumite produse sunt SUPER; preturi corecte; altele supraevaluate; ,produs; pret; pret; 
36,36,a1LTu7rADCqWaYIhrGIsD_oBi01m-2719028___rating_5.txt,"La Decathlon e o atmosfera super, iti place sa faci cumparaturi, chiar daca vii de la Arad. Personalul iți oferă informațiile necesare, unele chiar de specialitate, deosebit de utile pentru achiziționarea unui produs. Copilul e încântat de tricicleta de testare,  cu care se poate plimba in magazin. Felicitări.  Sunteți cei mai buni.",La Decathlon e o atmosfera super,1.0,atmosfera,"La Decathlon e o atmosfera super; Personalul iți oferă informațiile necesare, unele chiar de specialitate, deosebit de utile pentru achiziționarea unui produs; ",atmosfera; personal; 
38,38,a1RprBIW6kK0mA3Z5xEZS.cb0iBW-1253274___rating_4.txt,"As fi bucuros daca ati actualiza stocurile in permanenta astfel incat sa fie tot timpul disponibilitate a marimilor produselor, in special cele vestimentare, produsele ptr vanatoare!",As fi bucuros daca ati actualiza stocurile in permanenta astfel incat sa fie tot timpul disponibilitate a marimilor produselor,-1.0,disponibilitate,As fi bucuros daca ati actualiza stocurile in permanenta astfel incat sa fie tot timpul disponibilitate a marimilor produselor; ,disponibilitate; 
